,max_samples,contamination,n_estimators,max_features,bootstrap,precision,recall,f1
48,24,auto,5,0.1,True,0.2777777777777778,0.8333333333333334,0.4166666666666667
49,24,auto,10,0.1,True,0.2777777777777778,0.8333333333333334,0.4166666666666667
50,24,auto,15,0.1,True,0.25,0.6666666666666666,0.36363636363636365
51,24,auto,20,0.1,True,0.23529411764705882,0.6666666666666666,0.34782608695652173
52,24,auto,50,0.1,True,0.25,0.8333333333333334,0.38461538461538464
53,24,auto,100,0.1,True,0.22727272727272727,0.8333333333333334,0.35714285714285715
54,24,auto,200,0.1,True,0.2,0.6666666666666666,0.3076923076923077
55,24,auto,300,0.1,True,0.21052631578947367,0.6666666666666666,0.32
56,auto,auto,5,0.3,True,0.2222222222222222,0.6666666666666666,0.3333333333333333
57,auto,auto,10,0.3,True,0.25,0.6666666666666666,0.36363636363636365
58,auto,auto,15,0.3,True,0.29411764705882354,0.8333333333333334,0.43478260869565216
59,auto,auto,20,0.3,True,0.29411764705882354,0.8333333333333334,0.43478260869565216
60,auto,auto,50,0.3,True,0.26666666666666666,0.6666666666666666,0.38095238095238093
61,auto,auto,100,0.3,True,0.26666666666666666,0.6666666666666666,0.38095238095238093
62,auto,auto,200,0.3,True,0.26666666666666666,0.6666666666666666,0.38095238095238093
63,auto,auto,300,0.3,True,0.26666666666666666,0.6666666666666666,0.38095238095238093
64,0.1,auto,5,0.3,True,0.0,0.0,0.0
65,0.1,auto,10,0.3,True,0.0,0.0,0.0
66,0.1,auto,15,0.3,True,0.0,0.0,0.0
67,0.1,auto,20,0.3,True,0.0,0.0,0.0
68,0.1,auto,50,0.3,True,0.0,0.0,0.0
69,0.1,auto,100,0.3,True,0.25,1.0,0.4
70,0.1,auto,200,0.3,True,0.25,1.0,0.4
71,0.1,auto,300,0.3,True,0.25,1.0,0.4
72,0.3,auto,5,0.3,True,0.3333333333333333,1.0,0.5
73,0.3,auto,10,0.3,True,0.3333333333333333,0.8333333333333334,0.47619047619047616
74,0.3,auto,15,0.3,True,0.25,0.5,0.3333333333333333
75,0.3,auto,20,0.3,True,0.26666666666666666,0.6666666666666666,0.38095238095238093
76,0.3,auto,50,0.3,True,0.3076923076923077,0.6666666666666666,0.42105263157894735
77,0.3,auto,100,0.3,True,0.26666666666666666,0.6666666666666666,0.38095238095238093
78,0.3,auto,200,0.3,True,0.26666666666666666,0.6666666666666666,0.38095238095238093
79,0.3,auto,300,0.3,True,0.26666666666666666,0.6666666666666666,0.38095238095238093
80,0.5,auto,5,0.3,True,0.25,0.8333333333333334,0.38461538461538464
81,0.5,auto,10,0.3,True,0.29411764705882354,0.8333333333333334,0.43478260869565216
82,0.5,auto,15,0.3,True,0.3333333333333333,0.8333333333333334,0.47619047619047616
83,0.5,auto,20,0.3,True,0.29411764705882354,0.8333333333333334,0.43478260869565216
84,0.5,auto,50,0.3,True,0.3076923076923077,0.6666666666666666,0.42105263157894735
85,0.5,auto,100,0.3,True,0.3076923076923077,0.6666666666666666,0.42105263157894735
86,0.5,auto,200,0.3,True,0.3076923076923077,0.6666666666666666,0.42105263157894735
87,0.5,auto,300,0.3,True,0.2857142857142857,0.6666666666666666,0.4
88,0.7,auto,5,0.3,True,0.23529411764705882,0.6666666666666666,0.34782608695652173
89,0.7,auto,10,0.3,True,0.29411764705882354,0.8333333333333334,0.43478260869565216
90,0.7,auto,15,0.3,True,0.3333333333333333,0.8333333333333334,0.47619047619047616
91,0.7,auto,20,0.3,True,0.3125,0.8333333333333334,0.45454545454545453
92,0.7,auto,50,0.3,True,0.3333333333333333,0.6666666666666666,0.4444444444444444
93,0.7,auto,100,0.3,True,0.3076923076923077,0.6666666666666666,0.42105263157894735
94,0.7,auto,200,0.3,True,0.2857142857142857,0.6666666666666666,0.4
95,0.7,auto,300,0.3,True,0.26666666666666666,0.6666666666666666,0.38095238095238093
96,0.9,auto,5,0.3,True,0.23529411764705882,0.6666666666666666,0.34782608695652173
97,0.9,auto,10,0.3,True,0.23529411764705882,0.6666666666666666,0.34782608695652173
98,0.9,auto,15,0.3,True,0.2777777777777778,0.8333333333333334,0.4166666666666667
99,0.9,auto,20,0.3,True,0.2777777777777778,0.8333333333333334,0.4166666666666667
100,0.9,auto,50,0.3,True,0.3076923076923077,0.6666666666666666,0.42105263157894735
101,0.9,auto,100,0.3,True,0.3076923076923077,0.6666666666666666,0.42105263157894735
102,0.9,auto,200,0.3,True,0.2857142857142857,0.6666666666666666,0.4
103,0.9,auto,300,0.3,True,0.26666666666666666,0.6666666666666666,0.38095238095238093
104,24,auto,5,0.3,True,0.2222222222222222,0.6666666666666666,0.3333333333333333
105,24,auto,10,0.3,True,0.25,0.6666666666666666,0.36363636363636365
106,24,auto,15,0.3,True,0.29411764705882354,0.8333333333333334,0.43478260869565216
