,kernel,degree,coef0,gamma,nu,precision,recall,f1
246,poly,1,0.0,1e-06,0.01,0.22727272727272727,0.8333333333333334,0.35714285714285715
247,poly,1,0.0,1e-06,0.05,0.3076923076923077,0.6666666666666666,0.42105263157894735
248,poly,1,0.0,1e-06,0.1,0.2608695652173913,1.0,0.41379310344827586
249,poly,1,0.0,1e-06,0.2,0.35714285714285715,0.8333333333333334,0.5
250,poly,1,0.0,1e-06,0.25,0.4166666666666667,0.8333333333333334,0.5555555555555556
251,poly,1,0.0,1e-06,0.5,0.15384615384615385,0.3333333333333333,0.21052631578947367
252,rbf,1,0.0,1e-06,0.01,0.25,1.0,0.4
253,rbf,1,0.0,1e-06,0.05,0.21739130434782608,0.8333333333333334,0.3448275862068966
254,rbf,1,0.0,1e-06,0.1,0.3125,0.8333333333333334,0.45454545454545453
255,rbf,1,0.0,1e-06,0.2,0.29411764705882354,0.8333333333333334,0.43478260869565216
256,rbf,1,0.0,1e-06,0.25,0.0,0.0,0.0
257,rbf,1,0.0,1e-06,0.5,0.0,0.0,0.0
258,sigmoid,1,0.0,1e-06,0.01,0.22727272727272727,0.8333333333333334,0.35714285714285715
259,sigmoid,1,0.0,1e-06,0.05,0.3076923076923077,0.6666666666666666,0.42105263157894735
260,sigmoid,1,0.0,1e-06,0.1,0.2608695652173913,1.0,0.41379310344827586
261,sigmoid,1,0.0,1e-06,0.2,0.35714285714285715,0.8333333333333334,0.5
262,sigmoid,1,0.0,1e-06,0.25,0.4166666666666667,0.8333333333333334,0.5555555555555556
263,sigmoid,1,0.0,1e-06,0.5,0.15384615384615385,0.3333333333333333,0.21052631578947367
264,linear,1,0.0,0.0001,0.01,0.2,0.5,0.2857142857142857
265,linear,1,0.0,0.0001,0.05,0.2857142857142857,0.6666666666666666,0.4
266,linear,1,0.0,0.0001,0.1,0.08333333333333333,0.16666666666666666,0.1111111111111111
267,linear,1,0.0,0.0001,0.2,0.125,0.3333333333333333,0.18181818181818182
268,linear,1,0.0,0.0001,0.25,0.23076923076923078,0.5,0.3157894736842105
269,linear,1,0.0,0.0001,0.5,0.23076923076923078,0.5,0.3157894736842105
270,poly,1,0.0,0.0001,0.01,0.2608695652173913,1.0,0.41379310344827586
271,poly,1,0.0,0.0001,0.05,0.3076923076923077,0.6666666666666666,0.42105263157894735
272,poly,1,0.0,0.0001,0.1,0.2857142857142857,1.0,0.4444444444444444
273,poly,1,0.0,0.0001,0.2,0.3125,0.8333333333333334,0.45454545454545453
274,poly,1,0.0,0.0001,0.25,0.25,0.8333333333333334,0.38461538461538464
275,poly,1,0.0,0.0001,0.5,0.0,0.0,0.0
276,rbf,1,0.0,0.0001,0.01,0.0,0.0,0.0
277,rbf,1,0.0,0.0001,0.05,0.0,0.0,0.0
278,rbf,1,0.0,0.0001,0.1,0.2,0.16666666666666666,0.18181818181818182
279,rbf,1,0.0,0.0001,0.2,0.4,0.3333333333333333,0.36363636363636365
280,rbf,1,0.0,0.0001,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333
281,rbf,1,0.0,0.0001,0.5,0.23076923076923078,0.5,0.3157894736842105
282,sigmoid,1,0.0,0.0001,0.01,0.22727272727272727,0.8333333333333334,0.35714285714285715
283,sigmoid,1,0.0,0.0001,0.05,0.3076923076923077,0.6666666666666666,0.42105263157894735
284,sigmoid,1,0.0,0.0001,0.1,0.2857142857142857,1.0,0.4444444444444444
285,sigmoid,1,0.0,0.0001,0.2,0.3125,0.8333333333333334,0.45454545454545453
286,sigmoid,1,0.0,0.0001,0.25,0.22727272727272727,0.8333333333333334,0.35714285714285715
287,sigmoid,1,0.0,0.0001,0.5,0.0,0.0,0.0
288,linear,1,0.0,0.001,0.01,0.2,0.5,0.2857142857142857
289,linear,1,0.0,0.001,0.05,0.2857142857142857,0.6666666666666666,0.4
290,linear,1,0.0,0.001,0.1,0.08333333333333333,0.16666666666666666,0.1111111111111111
291,linear,1,0.0,0.001,0.2,0.125,0.3333333333333333,0.18181818181818182
292,linear,1,0.0,0.001,0.25,0.23076923076923078,0.5,0.3157894736842105
293,linear,1,0.0,0.001,0.5,0.23076923076923078,0.5,0.3157894736842105
294,poly,1,0.0,0.001,0.01,0.38461538461538464,0.8333333333333334,0.5263157894736842
295,poly,1,0.0,0.001,0.05,0.375,1.0,0.5454545454545454
296,poly,1,0.0,0.001,0.1,0.2,0.6666666666666666,0.3076923076923077
297,poly,1,0.0,0.001,0.2,0.25,0.6666666666666666,0.36363636363636365
298,poly,1,0.0,0.001,0.25,0.2857142857142857,0.6666666666666666,0.4
299,poly,1,0.0,0.001,0.5,0.13333333333333333,0.3333333333333333,0.19047619047619047
300,rbf,1,0.0,0.001,0.01,0.3333333333333333,0.16666666666666666,0.2222222222222222
301,rbf,1,0.0,0.001,0.05,0.0,0.0,0.0
302,rbf,1,0.0,0.001,0.1,0.0,0.0,0.0
303,rbf,1,0.0,0.001,0.2,0.0,0.0,0.0
304,rbf,1,0.0,0.001,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333
305,rbf,1,0.0,0.001,0.5,0.2857142857142857,0.6666666666666666,0.4
306,sigmoid,1,0.0,0.001,0.01,0.38461538461538464,0.8333333333333334,0.5263157894736842
307,sigmoid,1,0.0,0.001,0.05,0.375,1.0,0.5454545454545454
308,sigmoid,1,0.0,0.001,0.1,0.3333333333333333,0.8333333333333334,0.47619047619047616
309,sigmoid,1,0.0,0.001,0.2,0.25,0.6666666666666666,0.36363636363636365
310,sigmoid,1,0.0,0.001,0.25,0.2857142857142857,0.6666666666666666,0.4
311,sigmoid,1,0.0,0.001,0.5,0.13333333333333333,0.3333333333333333,0.19047619047619047
312,linear,1,0.0,0.01,0.01,0.2,0.5,0.2857142857142857
313,linear,1,0.0,0.01,0.05,0.2857142857142857,0.6666666666666666,0.4
314,linear,1,0.0,0.01,0.1,0.08333333333333333,0.16666666666666666,0.1111111111111111
315,linear,1,0.0,0.01,0.2,0.125,0.3333333333333333,0.18181818181818182
316,linear,1,0.0,0.01,0.25,0.23076923076923078,0.5,0.3157894736842105
317,linear,1,0.0,0.01,0.5,0.23076923076923078,0.5,0.3157894736842105
318,poly,1,0.0,0.01,0.01,0.45454545454545453,0.8333333333333334,0.5882352941176471
319,poly,1,0.0,0.01,0.05,0.07142857142857142,0.16666666666666666,0.1
320,poly,1,0.0,0.01,0.1,0.3076923076923077,0.6666666666666666,0.42105263157894735
321,poly,1,0.0,0.01,0.2,0.3076923076923077,0.6666666666666666,0.42105263157894735
322,poly,1,0.0,0.01,0.25,0.15384615384615385,0.3333333333333333,0.21052631578947367
323,poly,1,0.0,0.01,0.5,0.2727272727272727,0.5,0.35294117647058826
324,rbf,1,0.0,0.01,0.01,0.0,0.0,0.0
325,rbf,1,0.0,0.01,0.05,0.0,0.0,0.0
326,rbf,1,0.0,0.01,0.1,0.0,0.0,0.0
327,rbf,1,0.0,0.01,0.2,0.16666666666666666,0.16666666666666666,0.16666666666666666
328,rbf,1,0.0,0.01,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333
329,rbf,1,0.0,0.01,0.5,0.25,0.5,0.3333333333333333
330,sigmoid,1,0.0,0.01,0.01,0.18181818181818182,0.3333333333333333,0.23529411764705882
331,sigmoid,1,0.0,0.01,0.05,0.25,0.16666666666666666,0.2
332,sigmoid,1,0.0,0.01,0.1,0.0,0.0,0.0
333,sigmoid,1,0.0,0.01,0.2,0.2,0.16666666666666666,0.18181818181818182
334,sigmoid,1,0.0,0.01,0.25,0.5,0.3333333333333333,0.4
335,sigmoid,1,0.0,0.01,0.5,0.25,0.5,0.3333333333333333
336,linear,1,0.0,0.1,0.01,0.2,0.5,0.2857142857142857
337,linear,1,0.0,0.1,0.05,0.2857142857142857,0.6666666666666666,0.4
338,linear,1,0.0,0.1,0.1,0.08333333333333333,0.16666666666666666,0.1111111111111111
339,linear,1,0.0,0.1,0.2,0.125,0.3333333333333333,0.18181818181818182
340,linear,1,0.0,0.1,0.25,0.23076923076923078,0.5,0.3157894736842105
