,max_samples,contamination,n_estimators,max_features,precision,recall,f1
148,24,0.1,100,0.1,0.3333333333333333,0.16666666666666666,0.2222222222222222
149,24,0.1,200,0.1,0.3333333333333333,0.16666666666666666,0.2222222222222222
150,auto,0.1,50,0.5,0.3333333333333333,0.16666666666666666,0.2222222222222222
151,auto,0.1,100,0.5,0.3333333333333333,0.16666666666666666,0.2222222222222222
152,auto,0.1,200,0.5,0.3333333333333333,0.16666666666666666,0.2222222222222222
153,4,0.1,50,0.5,1.0,0.5,0.6666666666666666
154,4,0.1,100,0.5,1.0,0.3333333333333333,0.5
155,4,0.1,200,0.5,0.6666666666666666,0.3333333333333333,0.4444444444444444
156,12,0.1,50,0.5,0.0,0.0,0.0
157,12,0.1,100,0.5,0.3333333333333333,0.16666666666666666,0.2222222222222222
158,12,0.1,200,0.5,0.3333333333333333,0.16666666666666666,0.2222222222222222
159,16,0.1,50,0.5,0.0,0.0,0.0
160,16,0.1,100,0.5,0.3333333333333333,0.16666666666666666,0.2222222222222222
161,16,0.1,200,0.5,0.3333333333333333,0.16666666666666666,0.2222222222222222
162,24,0.1,50,0.5,0.3333333333333333,0.16666666666666666,0.2222222222222222
163,24,0.1,100,0.5,0.3333333333333333,0.16666666666666666,0.2222222222222222
164,24,0.1,200,0.5,0.3333333333333333,0.16666666666666666,0.2222222222222222
165,auto,0.1,50,1.0,0.3333333333333333,0.16666666666666666,0.2222222222222222
166,auto,0.1,100,1.0,0.3333333333333333,0.16666666666666666,0.2222222222222222
167,auto,0.1,200,1.0,0.3333333333333333,0.16666666666666666,0.2222222222222222
168,4,0.1,50,1.0,0.0,0.0,0.0
169,4,0.1,100,1.0,0.6666666666666666,0.3333333333333333,0.4444444444444444
170,4,0.1,200,1.0,0.5,0.16666666666666666,0.25
171,12,0.1,50,1.0,0.3333333333333333,0.16666666666666666,0.2222222222222222
172,12,0.1,100,1.0,0.3333333333333333,0.16666666666666666,0.2222222222222222
173,12,0.1,200,1.0,0.3333333333333333,0.16666666666666666,0.2222222222222222
174,16,0.1,50,1.0,0.3333333333333333,0.16666666666666666,0.2222222222222222
175,16,0.1,100,1.0,0.3333333333333333,0.16666666666666666,0.2222222222222222
176,16,0.1,200,1.0,0.3333333333333333,0.16666666666666666,0.2222222222222222
177,24,0.1,50,1.0,0.3333333333333333,0.16666666666666666,0.2222222222222222
178,24,0.1,100,1.0,0.3333333333333333,0.16666666666666666,0.2222222222222222
179,24,0.1,200,1.0,0.3333333333333333,0.16666666666666666,0.2222222222222222
180,auto,0.2,50,0.1,0.4,0.3333333333333333,0.36363636363636365
181,auto,0.2,100,0.1,0.4,0.3333333333333333,0.36363636363636365
182,auto,0.2,200,0.1,0.4,0.3333333333333333,0.36363636363636365
183,4,0.2,50,0.1,0.0,0.0,0.0
184,4,0.2,100,0.1,0.25,0.16666666666666666,0.2
185,4,0.2,200,0.1,0.4,0.3333333333333333,0.36363636363636365
186,12,0.2,50,0.1,0.4,0.3333333333333333,0.36363636363636365
187,12,0.2,100,0.1,0.4,0.3333333333333333,0.36363636363636365
188,12,0.2,200,0.1,0.4,0.3333333333333333,0.36363636363636365
189,16,0.2,50,0.1,0.4,0.3333333333333333,0.36363636363636365
190,16,0.2,100,0.1,0.4,0.3333333333333333,0.36363636363636365
191,16,0.2,200,0.1,0.4,0.3333333333333333,0.36363636363636365
192,24,0.2,50,0.1,0.4,0.3333333333333333,0.36363636363636365
193,24,0.2,100,0.1,0.4,0.3333333333333333,0.36363636363636365
194,24,0.2,200,0.1,0.4,0.3333333333333333,0.36363636363636365
195,auto,0.2,50,0.5,0.4,0.3333333333333333,0.36363636363636365
196,auto,0.2,100,0.5,0.4,0.3333333333333333,0.36363636363636365
197,auto,0.2,200,0.5,0.4,0.3333333333333333,0.36363636363636365
198,4,0.2,50,0.5,0.6,0.5,0.5454545454545454
199,4,0.2,100,0.5,0.6,0.5,0.5454545454545454
200,4,0.2,200,0.5,0.4,0.3333333333333333,0.36363636363636365
201,12,0.2,50,0.5,0.2,0.16666666666666666,0.18181818181818182
202,12,0.2,100,0.5,0.2,0.16666666666666666,0.18181818181818182
203,12,0.2,200,0.5,0.2,0.16666666666666666,0.18181818181818182
204,16,0.2,50,0.5,0.2,0.16666666666666666,0.18181818181818182
205,16,0.2,100,0.5,0.4,0.3333333333333333,0.36363636363636365
206,16,0.2,200,0.5,0.4,0.3333333333333333,0.36363636363636365
207,24,0.2,50,0.5,0.4,0.3333333333333333,0.36363636363636365
208,24,0.2,100,0.5,0.4,0.3333333333333333,0.36363636363636365
209,24,0.2,200,0.5,0.4,0.3333333333333333,0.36363636363636365
210,auto,0.2,50,1.0,0.4,0.3333333333333333,0.36363636363636365
211,auto,0.2,100,1.0,0.4,0.3333333333333333,0.36363636363636365
212,auto,0.2,200,1.0,0.4,0.3333333333333333,0.36363636363636365
213,4,0.2,50,1.0,0.0,0.0,0.0
214,4,0.2,100,1.0,0.4,0.3333333333333333,0.36363636363636365
215,4,0.2,200,1.0,0.4,0.3333333333333333,0.36363636363636365
216,12,0.2,50,1.0,0.4,0.3333333333333333,0.36363636363636365
217,12,0.2,100,1.0,0.4,0.3333333333333333,0.36363636363636365
218,12,0.2,200,1.0,0.4,0.3333333333333333,0.36363636363636365
219,16,0.2,50,1.0,0.4,0.3333333333333333,0.36363636363636365
220,16,0.2,100,1.0,0.4,0.3333333333333333,0.36363636363636365
221,16,0.2,200,1.0,0.4,0.3333333333333333,0.36363636363636365
222,24,0.2,50,1.0,0.4,0.3333333333333333,0.36363636363636365
223,24,0.2,100,1.0,0.4,0.3333333333333333,0.36363636363636365
224,24,0.2,200,1.0,0.4,0.3333333333333333,0.36363636363636365
225,auto,0.25,50,0.1,0.3333333333333333,0.3333333333333333,0.3333333333333333
226,auto,0.25,100,0.1,0.3333333333333333,0.3333333333333333,0.3333333333333333
227,auto,0.25,200,0.1,0.3333333333333333,0.3333333333333333,0.3333333333333333
228,4,0.25,50,0.1,0.16666666666666666,0.16666666666666666,0.16666666666666666
229,4,0.25,100,0.1,0.25,0.16666666666666666,0.2
230,4,0.25,200,0.1,0.4,0.3333333333333333,0.36363636363636365
231,12,0.25,50,0.1,0.3333333333333333,0.3333333333333333,0.3333333333333333
232,12,0.25,100,0.1,0.3333333333333333,0.3333333333333333,0.3333333333333333
233,12,0.25,200,0.1,0.3333333333333333,0.3333333333333333,0.3333333333333333
234,16,0.25,50,0.1,0.3333333333333333,0.3333333333333333,0.3333333333333333
235,16,0.25,100,0.1,0.5,0.5,0.5
236,16,0.25,200,0.1,0.3333333333333333,0.3333333333333333,0.3333333333333333
237,24,0.25,50,0.1,0.3333333333333333,0.3333333333333333,0.3333333333333333
238,24,0.25,100,0.1,0.3333333333333333,0.3333333333333333,0.3333333333333333
239,24,0.25,200,0.1,0.3333333333333333,0.3333333333333333,0.3333333333333333
240,auto,0.25,50,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
241,auto,0.25,100,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
242,auto,0.25,200,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
243,4,0.25,50,0.5,0.5,0.5,0.5
244,4,0.25,100,0.5,0.6,0.5,0.5454545454545454
245,4,0.25,200,0.5,0.5,0.5,0.5
246,12,0.25,50,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666
247,12,0.25,100,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
248,12,0.25,200,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
249,16,0.25,50,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
250,16,0.25,100,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
251,16,0.25,200,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
252,24,0.25,50,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
253,24,0.25,100,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
254,24,0.25,200,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
255,auto,0.25,50,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
256,auto,0.25,100,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
257,auto,0.25,200,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
258,4,0.25,50,1.0,0.0,0.0,0.0
259,4,0.25,100,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
260,4,0.25,200,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
261,12,0.25,50,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
262,12,0.25,100,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
263,12,0.25,200,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
264,16,0.25,50,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
265,16,0.25,100,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
266,16,0.25,200,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
267,24,0.25,50,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
268,24,0.25,100,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
