,n_neighbors,algorithm,leaf_size,metric,contamination,precision,recall,f1
297,7,auto,100,euclidean,0.03,0.0,0.0,0.0
298,9,auto,100,euclidean,0.03,0.0,0.0,0.0
299,12,auto,100,euclidean,0.03,0.0,0.0,0.0
300,18,auto,100,euclidean,0.03,0.0,0.0,0.0
301,1,auto,100,manhattan,0.03,0.0,0.0,0.0
302,3,auto,100,manhattan,0.03,0.0,0.0,0.0
303,5,auto,100,manhattan,0.03,0.0,0.0,0.0
304,7,auto,100,manhattan,0.03,0.0,0.0,0.0
305,9,auto,100,manhattan,0.03,0.0,0.0,0.0
306,12,auto,100,manhattan,0.03,0.0,0.0,0.0
307,18,auto,100,manhattan,0.03,0.0,0.0,0.0
308,1,auto,200,euclidean,0.03,0.0,0.0,0.0
309,3,auto,200,euclidean,0.03,0.0,0.0,0.0
310,5,auto,200,euclidean,0.03,0.0,0.0,0.0
311,7,auto,200,euclidean,0.03,0.0,0.0,0.0
312,9,auto,200,euclidean,0.03,0.0,0.0,0.0
313,12,auto,200,euclidean,0.03,0.0,0.0,0.0
314,18,auto,200,euclidean,0.03,0.0,0.0,0.0
315,1,auto,200,manhattan,0.03,0.0,0.0,0.0
316,3,auto,200,manhattan,0.03,0.0,0.0,0.0
317,5,auto,200,manhattan,0.03,0.0,0.0,0.0
318,7,auto,200,manhattan,0.03,0.0,0.0,0.0
319,9,auto,200,manhattan,0.03,0.0,0.0,0.0
320,12,auto,200,manhattan,0.03,0.0,0.0,0.0
321,18,auto,200,manhattan,0.03,0.0,0.0,0.0
322,1,auto,300,euclidean,0.03,0.0,0.0,0.0
323,3,auto,300,euclidean,0.03,0.0,0.0,0.0
324,5,auto,300,euclidean,0.03,0.0,0.0,0.0
325,7,auto,300,euclidean,0.03,0.0,0.0,0.0
326,9,auto,300,euclidean,0.03,0.0,0.0,0.0
327,12,auto,300,euclidean,0.03,0.0,0.0,0.0
328,18,auto,300,euclidean,0.03,0.0,0.0,0.0
329,1,auto,300,manhattan,0.03,0.0,0.0,0.0
330,3,auto,300,manhattan,0.03,0.0,0.0,0.0
331,5,auto,300,manhattan,0.03,0.0,0.0,0.0
332,7,auto,300,manhattan,0.03,0.0,0.0,0.0
333,9,auto,300,manhattan,0.03,0.0,0.0,0.0
334,12,auto,300,manhattan,0.03,0.0,0.0,0.0
335,18,auto,300,manhattan,0.03,0.0,0.0,0.0
336,1,auto,5,euclidean,0.05,0.0,0.0,0.0
337,3,auto,5,euclidean,0.05,0.0,0.0,0.0
338,5,auto,5,euclidean,0.05,0.0,0.0,0.0
339,7,auto,5,euclidean,0.05,0.5,0.16666666666666666,0.25
