,kernel,degree,coef0,gamma,nu,precision,recall,f1
136,rbf,0,0.0,0.01,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333
137,rbf,0,0.0,0.01,0.5,0.3333333333333333,0.6666666666666666,0.4444444444444444
138,sigmoid,0,0.0,0.01,0.01,0.0,0.0,0.0
139,sigmoid,0,0.0,0.01,0.05,0.5,0.16666666666666666,0.25
140,sigmoid,0,0.0,0.01,0.1,0.2,0.16666666666666666,0.18181818181818182
141,sigmoid,0,0.0,0.01,0.2,0.25,0.16666666666666666,0.2
142,sigmoid,0,0.0,0.01,0.25,0.4,0.3333333333333333,0.36363636363636365
143,sigmoid,0,0.0,0.01,0.5,0.2857142857142857,0.6666666666666666,0.4
144,linear,0,0.0,0.1,0.01,0.0,0.0,0.0
145,linear,0,0.0,0.1,0.05,0.0,0.0,0.0
146,linear,0,0.0,0.1,0.1,0.0,0.0,0.0
147,linear,0,0.0,0.1,0.2,0.4166666666666667,0.8333333333333334,0.5555555555555556
148,linear,0,0.0,0.1,0.25,0.0,0.0,0.0
149,linear,0,0.0,0.1,0.5,0.42857142857142855,1.0,0.6
150,poly,0,0.0,0.1,0.01,0.25,1.0,0.4
151,poly,0,0.0,0.1,0.05,0.25,1.0,0.4
152,poly,0,0.0,0.1,0.1,0.25,1.0,0.4
153,poly,0,0.0,0.1,0.2,0.25,1.0,0.4
154,poly,0,0.0,0.1,0.25,0.25,1.0,0.4
155,poly,0,0.0,0.1,0.5,0.25,1.0,0.4
156,rbf,0,0.0,0.1,0.01,0.4,0.3333333333333333,0.36363636363636365
157,rbf,0,0.0,0.1,0.05,0.25,0.16666666666666666,0.2
158,rbf,0,0.0,0.1,0.1,0.2,0.16666666666666666,0.18181818181818182
159,rbf,0,0.0,0.1,0.2,0.0,0.0,0.0
160,rbf,0,0.0,0.1,0.25,0.2857142857142857,0.3333333333333333,0.3076923076923077
161,rbf,0,0.0,0.1,0.5,0.4166666666666667,0.8333333333333334,0.5555555555555556
162,sigmoid,0,0.0,0.1,0.01,0.0,0.0,0.0
163,sigmoid,0,0.0,0.1,0.05,0.0,0.0,0.0
164,sigmoid,0,0.0,0.1,0.1,0.5,0.16666666666666666,0.25
165,sigmoid,0,0.0,0.1,0.2,0.25,0.16666666666666666,0.2
166,sigmoid,0,0.0,0.1,0.25,0.2,0.16666666666666666,0.18181818181818182
167,sigmoid,0,0.0,0.1,0.5,0.15384615384615385,0.3333333333333333,0.21052631578947367
168,linear,0,0.0,1,0.01,0.0,0.0,0.0
169,linear,0,0.0,1,0.05,0.0,0.0,0.0
170,linear,0,0.0,1,0.1,0.0,0.0,0.0
171,linear,0,0.0,1,0.2,0.4166666666666667,0.8333333333333334,0.5555555555555556
172,linear,0,0.0,1,0.25,0.0,0.0,0.0
173,linear,0,0.0,1,0.5,0.42857142857142855,1.0,0.6
174,poly,0,0.0,1,0.01,0.25,1.0,0.4
175,poly,0,0.0,1,0.05,0.25,1.0,0.4
176,poly,0,0.0,1,0.1,0.25,1.0,0.4
177,poly,0,0.0,1,0.2,0.25,1.0,0.4
178,poly,0,0.0,1,0.25,0.25,1.0,0.4
179,poly,0,0.0,1,0.5,0.25,1.0,0.4
180,rbf,0,0.0,1,0.01,0.1111111111111111,0.16666666666666666,0.13333333333333333
181,rbf,0,0.0,1,0.05,0.3333333333333333,0.5,0.4
182,rbf,0,0.0,1,0.1,0.3333333333333333,0.5,0.4
183,rbf,0,0.0,1,0.2,0.5,0.6666666666666666,0.5714285714285714
184,rbf,0,0.0,1,0.25,0.16666666666666666,0.16666666666666666,0.16666666666666666
185,rbf,0,0.0,1,0.5,0.5,0.6666666666666666,0.5714285714285714
186,sigmoid,0,0.0,1,0.01,0.0,0.0,0.0
187,sigmoid,0,0.0,1,0.05,0.0,0.0,0.0
188,sigmoid,0,0.0,1,0.1,0.0,0.0,0.0
189,sigmoid,0,0.0,1,0.2,0.0,0.0,0.0
190,sigmoid,0,0.0,1,0.25,0.0,0.0,0.0
191,sigmoid,0,0.0,1,0.5,0.08333333333333333,0.16666666666666666,0.1111111111111111
192,linear,1,0.0,scale,0.01,0.0,0.0,0.0
193,linear,1,0.0,scale,0.05,0.0,0.0,0.0
194,linear,1,0.0,scale,0.1,0.0,0.0,0.0
195,linear,1,0.0,scale,0.2,0.4166666666666667,0.8333333333333334,0.5555555555555556
196,linear,1,0.0,scale,0.25,0.0,0.0,0.0
197,linear,1,0.0,scale,0.5,0.42857142857142855,1.0,0.6
198,poly,1,0.0,scale,0.01,0.0,0.0,0.0
199,poly,1,0.0,scale,0.05,0.0,0.0,0.0
200,poly,1,0.0,scale,0.1,0.0,0.0,0.0
201,poly,1,0.0,scale,0.2,0.2608695652173913,1.0,0.41379310344827586
202,poly,1,0.0,scale,0.25,0.7142857142857143,0.8333333333333334,0.7692307692307693
203,poly,1,0.0,scale,0.5,0.42857142857142855,1.0,0.6
204,rbf,1,0.0,scale,0.01,0.6,0.5,0.5454545454545454
205,rbf,1,0.0,scale,0.05,0.5,0.5,0.5
206,rbf,1,0.0,scale,0.1,0.3333333333333333,0.3333333333333333,0.3333333333333333
207,rbf,1,0.0,scale,0.2,0.5,0.5,0.5
208,rbf,1,0.0,scale,0.25,0.2,0.16666666666666666,0.18181818181818182
209,rbf,1,0.0,scale,0.5,0.35714285714285715,0.8333333333333334,0.5
210,sigmoid,1,0.0,scale,0.01,0.0,0.0,0.0
211,sigmoid,1,0.0,scale,0.05,0.0,0.0,0.0
212,sigmoid,1,0.0,scale,0.1,0.3333333333333333,0.16666666666666666,0.2222222222222222
213,sigmoid,1,0.0,scale,0.2,0.2,0.16666666666666666,0.18181818181818182
214,sigmoid,1,0.0,scale,0.25,0.16666666666666666,0.16666666666666666,0.16666666666666666
215,sigmoid,1,0.0,scale,0.5,0.15384615384615385,0.3333333333333333,0.21052631578947367
216,linear,1,0.0,auto,0.01,0.0,0.0,0.0
217,linear,1,0.0,auto,0.05,0.0,0.0,0.0
218,linear,1,0.0,auto,0.1,0.0,0.0,0.0
219,linear,1,0.0,auto,0.2,0.4166666666666667,0.8333333333333334,0.5555555555555556
220,linear,1,0.0,auto,0.25,0.0,0.0,0.0
221,linear,1,0.0,auto,0.5,0.42857142857142855,1.0,0.6
222,poly,1,0.0,auto,0.01,0.0,0.0,0.0
223,poly,1,0.0,auto,0.05,0.0,0.0,0.0
224,poly,1,0.0,auto,0.1,0.0,0.0,0.0
225,poly,1,0.0,auto,0.2,0.2608695652173913,1.0,0.41379310344827586
226,poly,1,0.0,auto,0.25,0.4,1.0,0.5714285714285714
227,poly,1,0.0,auto,0.5,0.42857142857142855,1.0,0.6
228,rbf,1,0.0,auto,0.01,0.3,0.5,0.375
229,rbf,1,0.0,auto,0.05,0.5,0.3333333333333333,0.4
230,rbf,1,0.0,auto,0.1,0.5,0.6666666666666666,0.5714285714285714
231,rbf,1,0.0,auto,0.2,0.5,0.8333333333333334,0.625
